user_id	commet-number	song-id
82949922	120	['440239167', '399555074', '343807', '448742012', '348064', '525086862', '528882520', '29850649', '349670', '28747838', '353441', '28167209', '353449', '28458078', '570087059', '362367', '107480', '351589', '351614', '112245', '112245', '27510069', '28068653', '26572666', '28234551', '28234551', '355509', '26484693', '26484695', '26484695', '28432356', '487598142', '487587135', '356437', '357215', '417595741', '29103754', '360696', '29150149', '361820', '361171', '361186', '28732754', '441617721', '362236', '545807912', '545807912', '363492', '399353114', '29715249', '557731184', '367468', '26830142', '528704389', '36471716', '525565523', '183494', '183494', '183494', '193516', '32845780', '36024814', '369879', '369878', '369887', '28348460', '28348460', '32083903', '370080', '32334552', '370085', '370297', '370216', '34828614', '29100034', '512106768', '370913', '370653', '370662', '28403534', '28403537', '563563369', '372040', '414979164', '27867805', '29129981', '380595', '30500866', '29043811', '569105827', '382227', '384548', '382510', '382510', '382510', '27579094', '27579098', '27579100', '27579104', '455502365', '546723461', '25639142', '406347116', '27808027', '33020584', '384874', '516827071', '29819567', '387390', '27908203', '30413708', '1316586475', '500137369', '29844760', '28497030', '27646910', '28497030', '27646910', '570333078', '570333079']
55401856	12	['208953', '112245', '112245', '464563060', '464563060', '441116261', '28138083', '28138084', '315943', '316117', '316117', '386770']
326233098	17	['29544226', '39443453', '29401115', '120391', '236827', '28126871', '362990', '169247', '176328', '178278', '28633054', '28633054', '28633054', '523249492', '29774663', '307795', '34916663']
439942347	17	['571599643', '523968662', '427610072', '41500356', '427610072', '417250912', '865048596', '574928482', '865048204', '862099160', '574044621', '571599643', '569214143', '562675760', '863993610', '558354209', '862100135']
18578823	23	['212388', '212388', '212388', '27867519', '27867519', '104535', '31149792', '141692', '141692', '141699', '36861903', '31149792', '156757', '156757', '310040', '310040', '387938', '388069', '396330', '22852001', '22852002', '36861903', '36861903']
51017244	10	['212388', '212401', '212388', '212401', '212367', '212367', '212373', '212367', '212388', '212367']
417523228	13	['212388', '212399', '212388', '212388', '22197027', '212776', '212774', '22197026', '22197016', '212791', '22197017', '212770', '212791']
1438866782	31	['212388', '212388', '212049', '212703', '26335351', '212388', '26335351', '112798', '112798', '248971', '262941', '295511', '295492', '295601', '295511', '295533', '295601', '295601', '295602', '295511', '295728', '295727', '295492', '295511', '295533', '295511', '295793', '295533', '295806', '295533', '295492']
119692206	35	['68140', '68140', '68140', '68140', '68140', '68140', '68140', '207876', '212388', '212388', '212746', '211846', '211846', '212639', '212322', '212388', '212746', '212639', '211846', '32688572', '211909', '32688572', '5277682', '5277682', '5277682', '5277682', '152853', '152853', '152853', '152853', '260205', '260205', '260205', '188190', '194200']
425266987	15	['212388', '212388', '212370', '26608783', '26608783', '212370', '212388', '329647', '329647', '329647', '329647', '329647', '329647', '329647', '387861']
